id,col1,col2,col3,col4,className,classId,cluster_label
1,0.722,,,,Iris-setosa,1,1
2,0.696,,,,Iris-setosa,1,0
3,0.734,,,,Iris-setosa,1,1
4,0.684,,,,Iris-setosa,1,0
5,0.696,,,,Iris-setosa,1,0
6,0.696,,,,Iris-setosa,1,0
7,0.696,,,,Iris-setosa,1,0
8,0.709,,,,Iris-setosa,1,1
9,0.722,,,,Iris-setosa,1,1
10,0.722,,,,Iris-setosa,1,1
11,0.835,,,,Iris-setosa,1,1
12,0.696,,,,Iris-setosa,1,0
13,0.722,,,,Iris-setosa,1,1
14,0.772,,,,Iris-setosa,1,1
15,0.797,,,,Iris-setosa,1,1
16,0.81,,,,Iris-setosa,1,1
17,0.823,,,,Iris-setosa,1,1
18,0.848,,,,Iris-setosa,1,1
19,0.696,,,,Iris-setosa,1,0
20,0.709,,,,Iris-setosa,1,1
21,0.734,,,,Iris-setosa,1,1
22,0.759,,,,Iris-setosa,1,1
23,0.772,,,,Iris-setosa,1,1
24,0.759,,,,Iris-setosa,1,1
25,0.797,,,,Iris-setosa,1,1
26,0.646,,,,Iris-setosa,1,2
27,0.684,,,,Iris-setosa,1,0
28,0.709,,,,Iris-setosa,1,1
29,0.797,,,,Iris-setosa,1,1
30,0.937,,,,Iris-setosa,1,1
31,0.696,,,,Iris-setosa,1,0
32,0.709,,,,Iris-setosa,1,1
33,0.722,,,,Iris-setosa,1,1
34,0.797,,,,Iris-setosa,1,1
35,0.835,,,,Iris-setosa,1,1
36,0.848,,,,Iris-setosa,1,1
37,0.848,,,,Iris-setosa,1,1
38,0.734,,,,Iris-setosa,1,1
39,0.785,,,,Iris-setosa,1,1
40,0.797,,,,Iris-setosa,1,1
41,0.823,,,,Iris-setosa,1,1
42,0.823,,,,Iris-setosa,1,1
43,0.873,,,,Iris-setosa,1,1
44,0.722,,,,Iris-setosa,1,1
45,0.823,,,,Iris-setosa,1,1
46,0.797,,,,Iris-setosa,1,1
47,0.962,,,,Iris-setosa,1,1
48,0.722,,,,Iris-setosa,1,1
49,0.709,,,,Iris-setosa,1,1
50,0.608,,,,Iris-setosa,1,2
51,0.544,,,,Iris-versicolor,2,2
52,0.734,,,,Iris-versicolor,2,1
53,0.734,,,,Iris-versicolor,2,1
54,0.734,,,,Iris-versicolor,2,1
55,0.747,,,,Iris-versicolor,2,1
56,0.734,,,,Iris-versicolor,2,1
57,0.759,,,,Iris-versicolor,2,1
58,0.557,,,,Iris-versicolor,2,2
59,0.595,,,,Iris-versicolor,2,2
60,0.608,,,,Iris-versicolor,2,2
61,0.861,,,,Iris-versicolor,2,1
