labels,dim2,dim6,dim7,dim8,Name3Class,Name3ClassX,Name3ClassY,cluster_label
r155,,,0.044666882,,ClassC,-0.387523441,-0.153850866,1
r156,,,0.033796147,,ClassC,-0.397239049,-0.127849999,1
r157,,,0.054407491,,ClassC,-0.383740355,-0.132921714,1
r158,,,0.07028307,,ClassC,-0.381950897,-0.125180034,1
r159,,,0.0669196,,ClassC,-0.410178942,-0.135182537,1
r160,,,0.069395114,,ClassC,-0.387258864,-0.11613761,1
r161,,,0.066731245,,ClassC,-0.410340646,-0.154674803,1
r162,,,0.049913895,,ClassC,-0.394373949,-0.152761528,1
r163,,,0.052793026,,ClassC,-0.402249482,-0.174885533,1
r164,,,0.073942525,,ClassC,-0.397451319,-0.115812018,1
r165,,,0.071789904,,ClassC,-0.395198214,-0.153545437,1
r166,,,0.081584329,,ClassC,-0.393588731,-0.107892995,1
r167,,,0.060676999,,ClassC,-0.388701413,-0.154623382,1
r168,,,0.047411473,,ClassC,-0.391735349,-0.124376678,1
r169,,,0.072973846,,ClassC,-0.360606106,-0.154459023,1
r170,,,0.121972877,,ClassC,-0.375398339,-0.149321388,1
r171,,,0.072354967,,ClassC,-0.396350988,-0.184639993,1
r172,,,0.07604133,,ClassC,-0.401899361,-0.152842834,1
r173,,,0.059789043,,ClassC,-0.389254558,-0.166535859,1
r174,,,0.069395114,,ClassC,-0.397641783,-0.101395811,1
r175,,,0.090114089,,ClassC,-0.41014832,-0.153222961,1
r176,,,0.03207405,,ClassC,-0.396238028,-0.098195652,1
r177,,,0.087530944,,ClassC,-0.373572439,-0.135434103,1
r178,,,0.061538048,,ClassC,-0.416046406,-0.147259707,1
r179,,,0.099612528,,ClassC,-0.369399631,-0.174842378,1
r180,,,0.044720697,,ClassC,-0.390717733,-0.188278945,1
r181,,,0.03724034,,ClassC,-0.393637682,-0.136661908,1
r182,,,0.058255301,,ClassC,-0.401235533,-0.116772043,1
r183,,,0.085808847,,ClassC,-0.393484319,-0.149755305,1
