labels,dim2,dim6,dim7,dim8,Name3Class,Name3ClassX,Name3ClassY,cluster_label
r155,,0.393007341,,,ClassC,-0.387523441,-0.153850866,1
r156,,0.410824755,,,ClassC,-0.397239049,-0.127849999,1
r157,,0.43374727,,,ClassC,-0.383740355,-0.132921714,1
r158,,0.399353407,,,ClassC,-0.381950897,-0.125180034,1
r159,,0.416928682,,,ClassC,-0.410178942,-0.135182537,1
r160,,0.427512185,,,ClassC,-0.387258864,-0.11613761,1
r161,,0.392270834,,,ClassC,-0.410340646,-0.154674803,1
r162,,0.413518554,,,ClassC,-0.394373949,-0.152761528,1
r163,,0.358351161,,,ClassC,-0.402249482,-0.174885533,1
r164,,0.443069632,,,ClassC,-0.397451319,-0.115812018,1
r165,,0.404569491,,,ClassC,-0.395198214,-0.153545437,1
r166,,0.395620427,,,ClassC,-0.393588731,-0.107892995,1
r167,,0.407676944,,,ClassC,-0.388701413,-0.154623382,1
r168,,0.404730917,,,ClassC,-0.391735349,-0.124376678,1
r169,,0.389213826,,,ClassC,-0.360606106,-0.154459023,1
r170,,0.389274361,,,ClassC,-0.375398339,-0.149321388,1
r171,,0.35415408,,,ClassC,-0.396350988,-0.184639993,1
r172,,0.386237531,,,ClassC,-0.401899361,-0.152842834,1
r173,,0.368066998,,,ClassC,-0.389254558,-0.166535859,1
r174,,0.460453212,,,ClassC,-0.397641783,-0.101395811,1
r175,,0.38870937,,,ClassC,-0.41014832,-0.153222961,1
r176,,0.439538434,,,ClassC,-0.396238028,-0.098195652,1
r177,,0.423456352,,,ClassC,-0.373572439,-0.135434103,1
r178,,0.363668135,,,ClassC,-0.416046406,-0.147259707,1
r179,,0.376693209,,,ClassC,-0.369399631,-0.174842378,1
r180,,0.373081299,,,ClassC,-0.390717733,-0.188278945,1
r181,,0.365373199,,,ClassC,-0.393637682,-0.136661908,1
r182,,0.384572824,,,ClassC,-0.401235533,-0.116772043,1
r183,,0.403267992,,,ClassC,-0.393484319,-0.149755305,1
r184,,0.427522274,,,ClassC,-0.387344006,-0.109679259,1
r185,,0.36735067,,,ClassC,-0.405377607,-0.158333495,1
r186,,0.405659117,,,ClassC,-0.397030937,-0.162330739,1
r187,,0.376632674,,,ClassC,-0.376733425,-0.129674383,1
r188,,0.428954931,,,ClassC,-0.378597807,-0.154713736,1
r189,,0.385289153,,,ClassC,-0.397266809,-0.163873716,1
r190,,0.39489401,,,ClassC,-0.394472816,-0.153322026,1
r191,,0.341007937,,,ClassC,-0.375661445,-0.164514464,1
r192,,0.367148887,,,ClassC,-0.388256376,-0.139640556,1
r193,,0.388840528,,,ClassC,-0.392076737,-0.13851454,1
