labels,dim2,dim6,dim7,dim8,Name3Class,Name3ClassX,Name3ClassY,cluster_label
r155,0.31434537,,,,ClassC,-0.387523441,-0.153850866,0
r156,0.327694758,,,,ClassC,-0.397239049,-0.127849999,0
r157,0.316753136,,,,ClassC,-0.383740355,-0.132921714,0
r158,0.363790934,,,,ClassC,-0.381950897,-0.125180034,0
r159,0.320207316,,,,ClassC,-0.410178942,-0.135182537,0
r160,0.367041926,,,,ClassC,-0.387258864,-0.11613761,0
r161,0.28582807,,,,ClassC,-0.410340646,-0.154674803,0
r162,0.322401736,,,,ClassC,-0.394373949,-0.152761528,0
r163,0.291456351,,,,ClassC,-0.402249482,-0.174885533,0
r164,0.356384766,,,,ClassC,-0.397451319,-0.115812018,0
r165,0.31105374,,,,ClassC,-0.395198214,-0.153545437,0
r166,0.40206121,,,,ClassC,-0.393588731,-0.107892995,0
r167,0.304653349,,,,ClassC,-0.388701413,-0.154623382,0
r168,0.365396111,,,,ClassC,-0.391735349,-0.124376678,0
r169,0.355937755,,,,ClassC,-0.360606106,-0.154459023,0
r170,0.354159868,,,,ClassC,-0.375398339,-0.149321388,0
r171,0.276644017,,,,ClassC,-0.396350988,-0.184639993,0
r172,0.323996754,,,,ClassC,-0.401899361,-0.152842834,0
r173,0.300904548,,,,ClassC,-0.389254558,-0.166535859,0
r174,0.37230447,,,,ClassC,-0.397641783,-0.101395811,0
r175,0.345138364,,,,ClassC,-0.41014832,-0.153222961,0
r176,0.369927182,,,,ClassC,-0.396238028,-0.098195652,0
r177,0.363404878,,,,ClassC,-0.373572439,-0.135434103,0
r178,0.333881803,,,,ClassC,-0.416046406,-0.147259707,0
r179,0.301046779,,,,ClassC,-0.369399631,-0.174842378,0
r180,0.289495596,,,,ClassC,-0.390717733,-0.188278945,0
r181,0.385013819,,,,ClassC,-0.393637682,-0.136661908,0
r182,0.362896911,,,,ClassC,-0.401235533,-0.116772043,0
r183,0.321091179,,,,ClassC,-0.393484319,-0.149755305,0
r184,0.33470471,,,,ClassC,-0.387344006,-0.109679259,0
r185,0.375606259,,,,ClassC,-0.405377607,-0.158333495,0
r186,0.299736223,,,,ClassC,-0.397030937,-0.162330739,0
r187,0.403249855,,,,ClassC,-0.376733425,-0.129674383,0
r188,0.302956737,,,,ClassC,-0.378597807,-0.154713736,0
r189,0.30040674,,,,ClassC,-0.397266809,-0.163873716,0
r190,0.293894596,,,,ClassC,-0.394472816,-0.153322026,0
r191,0.343939561,,,,ClassC,-0.375661445,-0.164514464,0
r192,0.331281009,,,,ClassC,-0.388256376,-0.139640556,0
r193,0.363577587,,,,ClassC,-0.392076737,-0.13851454,0
r194,0.356049508,,,,ClassC,-0.381586342,-0.133886738,0
r195,0.380147489,,,,ClassC,-0.398208697,-0.109088121,0
r196,0.3217109,,,,ClassC,-0.382018922,-0.141480944,0
